epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,5229.41,1.3735,1.21628,1.30204,0.38088,0.2549,0.18593,0.05469,2.83457,2.42934,2.40101,0.0003665,0.0003665,0.0003665
167,5261.96,1.4228,1.24989,1.29579,0.38142,0.2549,0.19343,0.05418,2.84287,2.4696,2.41118,0.0003566,0.0003566,0.0003566
168,5291.6,1.41517,1.26154,1.3241,0.38142,0.2549,0.19343,0.05418,2.84287,2.4696,2.41118,0.0003467,0.0003467,0.0003467
169,5324.06,1.53317,1.2958,1.39634,0.35901,0.37255,0.22254,0.06164,2.85854,2.42669,2.43085,0.0003368,0.0003368,0.0003368
170,5353.21,1.47017,1.25582,1.33229,0.35901,0.37255,0.22254,0.06164,2.85854,2.42669,2.43085,0.0003269,0.0003269,0.0003269
171,5384.73,1.41874,1.22164,1.29404,0.34566,0.35294,0.21132,0.05436,2.87919,2.41861,2.47409,0.000317,0.000317,0.000317
172,5416.83,1.47068,1.23987,1.37025,0.33403,0.35294,0.19603,0.05207,2.88532,2.422,2.47701,0.0003071,0.0003071,0.0003071
173,5448.72,1.46755,1.27232,1.34234,0.33403,0.35294,0.19603,0.05207,2.88532,2.422,2.47701,0.0002972,0.0002972,0.0002972
174,5480.15,1.41422,1.18607,1.28294,0.32728,0.31481,0.20324,0.05591,2.89089,2.42979,2.44748,0.0002873,0.0002873,0.0002873
175,5512.6,1.4117,1.21349,1.29578,0.29512,0.33663,0.21509,0.05792,2.88186,2.43342,2.43161,0.0002774,0.0002774,0.0002774
176,5543.18,1.42313,1.2005,1.33209,0.29512,0.33663,0.21509,0.05792,2.88186,2.43342,2.43161,0.0002675,0.0002675,0.0002675
177,5574.87,1.41064,1.17288,1.26949,0.2949,0.33333,0.21222,0.06429,2.87962,2.38011,2.43714,0.0002576,0.0002576,0.0002576
178,5605.96,1.38455,1.16176,1.29179,0.2949,0.33333,0.21222,0.06429,2.87962,2.38011,2.43714,0.0002477,0.0002477,0.0002477
179,5638.09,1.48839,1.22547,1.30975,0.30481,0.37255,0.23154,0.06828,2.87375,2.36128,2.4956,0.0002378,0.0002378,0.0002378
180,5670.64,1.34453,1.13794,1.2727,0.29983,0.35294,0.21409,0.06349,2.82972,2.36186,2.44107,0.0002279,0.0002279,0.0002279
181,5702.25,1.32688,1.17886,1.25428,0.29983,0.35294,0.21409,0.06349,2.82972,2.36186,2.44107,0.000218,0.000218,0.000218
